,name,ins_id,ticker,isin,instrument_type,market,country,sector,branch
1076,Fondia,1526,FONDIA,FI4000232913,Aktie,First North,Finland,Industri,Affärskonsulter
1077,Kamux,1527,KAMUX,FI4000206750,Aktie,Mid Cap,Finland,Sällanköpsvaror,Bil & Motor
1078,Remedy Entertainment,1528,REMEDY,FI4000251897,Aktie,Mid Cap,Finland,Sällanköpsvaror,Gaming & Spel
1079,GreenMobility,1529,GREENM,DK0060817898,Aktie,Small Cap,Danmark,Sällanköpsvaror,Konsumentservice
1080,Conferize,1530,CONFRZ,DK0060816148,Aktie,First North,Danmark,Informationsteknik,Internettjänster
1081,Borr Drilling,1532,BORR,BMG1466R1732,Aktie,Oslo Bors,Norge,Energi,Olja & Gas - Borrning
1082,BerGenBio,1533,BGBIO,NO0010650013,Aktie,Oslo Bors,Norge,Hälsovård,Biotech
1083,Aquila,1536,AQUIL,NO0010778095,Aktie,Oslo Expand,Norge,Industri,Sjöfart & Rederi
1084,BioArctic,1538,BIOA B,SE0010323311,Aktie,Large Cap,Sverige,Hälsovård,Biotech
1085,Fram Skandinavien,1539,FRAM B,SE0010296269,Aktie,First North,Sverige,Informationsteknik,Affärs- & IT-System
1086,Nilfisk,1541,NLFSK,DK0060907293,Aktie,Mid Cap,Danmark,Industri,Industrimaskiner
1087,Climeon,1542,CLIME B,SE0009973548,Aktie,First North,Sverige,Kraftförsörjning,Förnybarenergi
1088,Qiiwi Games,1543,QIIWI,SE0010245373,Aktie,First North,Sverige,Sällanköpsvaror,Gaming & Spel
1089,Ferronordic,1546,FNM,SE0005468717,Aktie,Small Cap,Sverige,Industri,Industrikomponenter
1090,Goodbye Kansas,1547,GBK,SE0020179158,Aktie,First North,Sverige,Sällanköpsvaror,Gaming & Spel
1091,Touchtech,1548,TOUCH,SE0010414482,Aktie,Spotlight,Sverige,Informationsteknik,Affärs- & IT-System
1092,Artificial Solutions,1549,ASAI,SE0018397184,Aktie,First North,Sverige,Informationsteknik,Affärs- & IT-System
1093,2cureX,1550,2CUREX,SE0010468124,Aktie,First North,Sverige,Hälsovård,Medicinsk Utrustning
1094,Time People Group,1551,TPGR,SE0010442962,Aktie,NGM,Sverige,Informationsteknik,IT-Konsulter
1095,Seafire,1552,SEAF,SE0009779796,Aktie,Small Cap,Sverige,Finans & Fastighet,Investmentbolag
1096,BiBBInstruments,1553,BIBB,SE0010102095,Aktie,Spotlight,Sverige,Hälsovård,Medicinsk Utrustning
1097,Flexqube,1556,FLEXQ,SE0010547075,Aktie,First North,Sverige,Industri,Industrikomponenter
1098,Awardit,1557,AWRD,SE0010101824,Aktie,First North,Sverige,Sällanköpsvaror,Marknadsföring
1099,Morrow Bank,1559,MOBA,NO0010694029,Aktie,Oslo Bors,Norge,Finans & Fastighet,Kredit & Finansiering
1100,Vaxxa,1560,VAXXA,SE0009889157,Aktie,Spotlight,Sverige,Sällanköpsvaror,Gaming & Spel
1101,Logistri,1562,LOGIST,SE0010414615,Aktie,Spotlight,Sverige,Finans & Fastighet,Fastighetsbolag
1102,Tempest Security,1564,TSEC,SE0010469221,Aktie,First North,Sverige,Industri,Säkerhet
1103,DevPort,1565,DEVP B,SE0010546622,Aktie,First North,Sverige,Informationsteknik,IT-Konsulter
1104,MAG Interactive,1566,MAGI,SE0010520908,Aktie,First North,Sverige,Sällanköpsvaror,Gaming & Spel
1105,Terveystalo,1567,TTALO,FI4000252127,Aktie,Mid Cap,Finland,Hälsovård,Hälsovård & Hjälpmedel
1106,Efecte,1568,EFECTE,FI4000282868,Aktie,First North,Finland,Informationsteknik,Affärs- & IT-System
1107,Gofore,1569,GOFORE,FI4000283130,Aktie,Mid Cap,Finland,Informationsteknik,IT-Konsulter
1108,Titanium,1570,TITAN,FI4000270350,Aktie,First North,Finland,Finans & Fastighet,Kapitalförvaltning
1109,Scout Gaming,1571,SCOUT,SE0010521153,Aktie,First North,Sverige,Sällanköpsvaror,Betting & Casino
1110,Acconeer,1572,ACCON,SE0010546242,Aktie,First North,Sverige,Industri,Mätning & Analys
1111,Lyko,1573,LYKO A,SE0010468918,Aktie,First North,Sverige,Dagligvaror,Hygienprodukter
1112,Arjo,1574,ARJO B,SE0010468116,Aktie,Large Cap,Sverige,Hälsovård,Hälsovård & Hjälpmedel
1113,Enad Global 7,1576,EG7,SE0010520106,Aktie,First North,Sverige,Sällanköpsvaror,Gaming & Spel
1114,Bio-Works,1577,BIOWKS,SE0007387089,Aktie,First North,Sverige,Hälsovård,Läkemedel
1115,TopRight Nordic,1578,TOPR,SE0010297507,Aktie,NGM,Sverige,Industri,Elektroniska komponenter
1116,24SevenOffice,1579,247,SE0010546911,Aktie,Spotlight,Sverige,Informationsteknik,Affärs- & IT-System
1117,Crayon Group,1580,CRAYN,NO0010808892,Aktie,Oslo Bors,Norge,Informationsteknik,IT-Konsulter
1118,Webstep,1582,WSTEP,NO0010609662,Aktie,Oslo Bors,Norge,Informationsteknik,IT-Konsulter
1119,Orphazyme,1583,ORPHA,DK0062502894,Aktie,Small Cap,Danmark,Hälsovård,Biotech
1120,TCM Group,1584,TCM,DK0060915478,Aktie,Small Cap,Danmark,Sällanköpsvaror,Möbler & Inredning
1121,Copenhagen Capital Praef,1585,CPHCAP PREF,DK0060732980,Pref,Small Cap,Danmark,Finans & Fastighet,Fastighet - REIT
1122,Gentian Diagnostics,1590,GENT,NO0010748866,Aktie,Oslo Bors,Norge,Hälsovård,Medicinsk Utrustning
1123,Grong Sparebank,1592,GRONG,NO0010636491,Aktie,Oslo Growth,Norge,Finans & Fastighet,Banker
1124,MPC Container Ships,1593,MPCC,NO0010791353,Aktie,Oslo Bors,Norge,Industri,Sjöfart & Rederi
1125,Northern Drilling,1594,NODL,BMG6624L1090,Aktie,Oslo Bors,Norge,Energi,Olja & Gas - Borrning
1126,Romerike Sparebank,1595,ROMER,NO0010808405,Aktie,Oslo Growth,Norge,Finans & Fastighet,Banker
1127,Tysnes Sparebank,1596,TYSB,NO0010731615,Aktie,Oslo Growth,Norge,Finans & Fastighet,Banker
1128,Baltic Sea Properties,1597,BALT,NO0010810476,Aktie,Oslo Growth,Norge,Finans & Fastighet,Fastighetsbolag
1129,Aixia,1599,AIXIA B,SE0010636837,Aktie,Spotlight,Sverige,Informationsteknik,Affärs- & IT-System
1130,H&D Wireless,1600,HDW B,SE0009889405,Aktie,First North,Sverige,Informationsteknik,Kommunikation
1131,MyFirstApp,1601,MFA,SE0020541589,Aktie,Spotlight,Sverige,Hälsovård,Medicinsk Utrustning
1132,Hubso Group,1602,HUBSO,SE0009806177,Aktie,Spotlight,Sverige,Informationsteknik,Affärs- & IT-System
1133,ADDvise Group B,1603,ADDV B,SE0007464862,Aktie,First North,Sverige,Hälsovård,Hälsovård & Hjälpmedel
1134,Arbona A,1604,ARBO A,SE0003210590,Stocks2,NGM,Sverige,Finans & Fastighet,Investmentbolag
1135,Atlas Copco B,1605,ATCO B,SE0017486897,Stocks2,Large Cap,Sverige,Industri,Industrimaskiner
1136,Bonava A,1606,BONAV A,SE0008091573,Stocks2,Mid Cap,Sverige,Finans & Fastighet,Fastighetsbolag
1137,Catella A,1607,CAT A,SE0000188500,Stocks2,Mid Cap,Sverige,Finans & Fastighet,Kapitalförvaltning
1138,Corem Property B,1608,CORE B,SE0010714287,Stocks2,Large Cap,Sverige,Finans & Fastighet,Fastighetsbolag
1139,Electrolux A,1609,ELUX A,SE0016589170,Stocks2,Large Cap,Sverige,Sällanköpsvaror,Hemelektronik
1140,Ericsson A,1610,ERIC A,SE0000108649,Stocks2,Large Cap,Sverige,Informationsteknik,Kommunikation
1141,Essity A,1611,ESSITY A,SE0009922156,Stocks2,Large Cap,Sverige,Dagligvaror,Hygienprodukter
1142,Handelsbanken B,1612,SHB B,SE0007100607,Stocks2,Large Cap,Sverige,Finans & Fastighet,Banker
1143,Holmen A,1613,HOLM A,SE0011090000,Stocks2,Large Cap,Sverige,Material,Skogsbolag
1144,Husqvarna A,1615,HUSQ A,SE0001662222,Stocks2,Large Cap,Sverige,Sällanköpsvaror,Hemelektronik
1145,Industrivärden A,1616,INDU A,SE0000190126,Stocks2,Large Cap,Sverige,Finans & Fastighet,Investmentbolag
1146,Investor A,1617,INVE A,SE0015811955,Stocks2,Large Cap,Sverige,Finans & Fastighet,Investmentbolag
1147,Kinnevik A,1618,KINV A,SE0015810239,Stocks2,Large Cap,Sverige,Finans & Fastighet,Investmentbolag
1148,Midsona A,1620,MSON A,SE0000565210,Stocks2,Small Cap,Sverige,Dagligvaror,Hälsoprodukter
1149,HAKI Safety A,1621,HAKI A,SE0000122657,Stocks2,Small Cap,Sverige,Finans & Fastighet,Investmentbolag
1150,Modern Times Group A,1622,MTG A,SE0018012486,Stocks2,Large Cap,Sverige,Sällanköpsvaror,Media & Publicering
1151,NCC A,1623,NCC A,SE0000118952,Stocks2,Large Cap,Sverige,Industri,Byggnation & Infrastruktur
1152,Ortivus A,1624,ORTI A,SE0000188930,Stocks2,Small Cap,Sverige,Hälsovård,Hälsovård & Hjälpmedel
1153,Ratos A,1625,RATO A,SE0000191090,Stocks2,Large Cap,Sverige,Finans & Fastighet,Investmentbolag
1154,Sagax B,1626,SAGA B,SE0005127818,Stocks2,Large Cap,Sverige,Finans & Fastighet,Fastighetsbolag
1155,Sagax D,1627,SAGA D,SE0009161052,Stocks2,Large Cap,Sverige,Finans & Fastighet,Fastighetsbolag
1156,SCA A,1628,SCA A,SE0000171886,Stocks2,Large Cap,Sverige,Material,Skogsbolag
1157,SEB C,1629,SEB C,SE0000120784,Stocks2,Large Cap,Sverige,Finans & Fastighet,Banker
1158,SKF A,1630,SKF A,SE0000108201,Stocks2,Large Cap,Sverige,Industri,Industrikomponenter
1159,SSAB B,1632,SSAB B,SE0000120669,Aktie,Large Cap,Sverige,Material,Gruv - Industrimetaller
1160,Starbreeze A,1633,STAR A,SE0007158928,Stocks2,Small Cap,Sverige,Sällanköpsvaror,Gaming & Spel
1161,Stora Enso A,1634,STE A,FI0009007603,Stocks2,Large Cap,Sverige,Material,Skogsbolag
1162,Svolder A,1635,SVOL A,SE0017161441,Stocks2,Mid Cap,Sverige,Finans & Fastighet,Investmentbolag
1163,Sweco A,1636,SWEC A,SE0014960365,Stocks2,Large Cap,Sverige,Industri,Affärskonsulter
1164,Tele2 A,1637,TEL2 A,SE0005190220,Stocks2,Large Cap,Sverige,Telekommunikation,Bredband & Telefoni
1165,Transferator B,1638,TRAN B,SE0017911241,Stocks2,Spotlight,Sverige,Finans & Fastighet,Investmentbolag
1166,Volvo A,1640,VOLV A,SE0000115420,Stocks2,Large Cap,Sverige,Industri,Industrimaskiner
1167,Ilkka 1,1642,ILKKA1,FI0009800197,Stocks2,Prelist,Finland,Sällanköpsvaror,Media & Publicering
1168,Kesko A,1643,KESKOA,FI0009007900,Stocks2,Large Cap,Finland,Dagligvaror,Livsmedelsbutiker
1169,Metsä Board A,1644,METSA,FI0009000640,Stocks2,Large Cap,Finland,Material,Skogsbolag
1170,Oriola A,1645,OKDAV,FI0009014344,Stocks2,Mid Cap,Finland,Dagligvaror,Apotek
1171,Orion A,1646,ORNAV,FI0009014369,Stocks2,Large Cap,Finland,Hälsovård,Läkemedel
1172,SSAB A,1647,SSABAH,SE0000171100,Stocks2,Large Cap,Finland,Material,Gruv - Industrimetaller
1173,Stora Enso A,1649,STEAV,FI0009005953,Stocks2,Large Cap,Finland,Material,Skogsbolag
1174,Ålandsbanken A,1650,ALBAV,FI0009000103,Stocks2,Mid Cap,Finland,Finans & Fastighet,Banker
1175,Odfjell A,1651,ODF,NO0003399909,Stocks2,Oslo Bors,Norge,Industri,Sjöfart & Rederi
1176,Schibsted B,1652,SCHB,NO0010736879,Stocks2,Oslo Bors,Norge,Sällanköpsvaror,Media & Publicering
1177,Wilh. Wilhelmsen A,1653,WWI,NO0010571698,Stocks2,Oslo Bors,Norge,Industri,Sjöfart & Rederi
1178,A.P. Moller Maersk A,1654,MAERSK A,DK0010244425,Stocks2,Large Cap,Danmark,Industri,Sjöfart & Rederi
1179,Carlsberg A,1655,CARL A,DK0010181676,Stocks2,Large Cap,Danmark,Dagligvaror,Bryggeri
1180,Gyldendal A,1656,GYLD A,DK0010247527,Stocks2,Mid Cap,Danmark,Sällanköpsvaror,Media & Publicering
1181,Rockwool A,1658,ROCK A,DK0010219070,Stocks2,Large Cap,Danmark,Industri,Byggmaterial
1182,Infracom,1659,INFRA,SE0010414573,Aktie,Spotlight,Sverige,Telekommunikation,Telekomtjänster
1183,SPENN Technology,1660,SPENN,DK0062268686,Aktie,First North,Danmark,Industri,Mätning & Analys
1184,Leading Edge Materials,1661,LEMSE,CA52171T1003,Aktie,First North,Sverige,Material,Gruv - Prospekt & Drift
1185,Veteranpoolen,1663,VPAB B,SE0010663161,Aktie,Spotlight,Sverige,Industri,Bemanning
1186,Nosium,1664,NOSIUM B,SE0017564271,Aktie,NGM,Sverige,Dagligvaror,Hälsoprodukter
1187,Salmones Camanchaca,1665,SACAM,NO0012451915,Aktie,Oslo Bors,Norge,Dagligvaror,Fiskodling
1188,Coegin Pharma,1666,COEGIN,SE0020357754,Aktie,NGM,Sverige,Hälsovård,Biotech
1189,Smoltek,1669,SMOL,SE0010820381,Aktie,Spotlight,Sverige,Informationsteknik,Elektronik & Tillverkning
1190,BBS-Bioactive Bone,1671,BONEH,FI4000260583,Aktie,First North,Finland,Hälsovård,Medicinsk Utrustning
1191,Admicom,1672,ADMCM,FI4000251830,Aktie,First North,Finland,Informationsteknik,Affärs- & IT-System
1192,HRC World,1674,HRC,GB00BZ3CDY20,Aktie,First North,Danmark,Sällanköpsvaror,Restaurang & Café
1193,Attana,1675,ATANA,SE0010547273,Aktie,NGM,Sverige,Hälsovård,Biotech
1194,Cibus Nordic,1676,CIBUS,SE0010832204,Aktie,Mid Cap,Sverige,Finans & Fastighet,Fastighetsbolag
1195,BHG Group,1677,BHG,SE0010948588,Aktie,Mid Cap,Sverige,Sällanköpsvaror,Detaljhandel
1196,Green Landscaping,1678,GREEN,SE0010985028,Aktie,Mid Cap,Sverige,Industri,Stödtjänster & Service
1197,Harvia,1681,HARVIA,FI4000306873,Aktie,Mid Cap,Finland,Sällanköpsvaror,Möbler & Inredning
1198,Elkem,1682,ELK,NO0010816093,Aktie,Oslo Bors,Norge,Material,Kemikalier
1199,Elmera,1683,ELMRA,NO0010815673,Aktie,Oslo Bors,Norge,Kraftförsörjning,Elförsörjning
1200,River Tech,1684,RIVER,MT0001710103,Aktie,Oslo Growth,Norge,Sällanköpsvaror,Betting & Casino
1201,Sunndal Sparebank,1685,SUNSB,NO0010672900,Aktie,Oslo Growth,Norge,Finans & Fastighet,Banker
1202,Agillic,1686,AGILC,DK0060955854,Aktie,First North,Danmark,Informationsteknik,Affärs- & IT-System
1203,Bodyflight,1688,BODY,SE0011089929,Aktie,Spotlight,Sverige,Sällanköpsvaror,Resor & Nöjen
1204,Iconovo,1689,ICO,SE0010868943,Aktie,First North,Sverige,Hälsovård,Medicinsk Utrustning
1205,Fluicell,1690,FLUI,SE0010831321,Aktie,First North,Sverige,Hälsovård,Biotech
1206,Infrea,1691,INFREA,SE0010600106,Aktie,Small Cap,Sverige,Industri,Byggnation & Infrastruktur
1207,NP3 Fastigheter Pref,1692,NP3 PREF,SE0010820514,Pref,Large Cap,Sverige,Finans & Fastighet,Fastighetsbolag
1208,Cardeon,1693,CARDEO,SE0020050896,Aktie,NGM,Sverige,Finans & Fastighet,Investmentbolag
1209,Better Collective,1694,BETCO,DK0060952240,Aktie,Large Cap,Sverige,Sällanköpsvaror,Betting & Casino
1210,NCAB Group,1695,NCAB,SE0017160773,Aktie,Large Cap,Sverige,Informationsteknik,Elektronik & Tillverkning
1211,I-Tech,1697,ITECH,SE0011167725,Aktie,First North,Sverige,Material,Kemikalier
1212,Ovzon,1698,OVZON,SE0010948711,Aktie,Small Cap,Sverige,Telekommunikation,Telekomtjänster
1213,JonDeTech Sensors,1699,JDT,SE0009662554,Aktie,First North,Sverige,Industri,Mätning & Analys
1214,Africa Energy,1700,AEC,CA00830W1059,Aktie,First North,Sverige,Energi,Olja & Gas - Exploatering
1215,Africa Resources,1701,AFRI,SE0009496482,Aktie,NGM,Sverige,Material,Gruv - Ädelstenar
1216,Netcompany Group,1702,NETC,DK0060952919,Aktie,Large Cap,Danmark,Informationsteknik,Affärs- & IT-System
1217,Enersense,1703,ESENSE,FI4000301585,Aktie,Small Cap,Finland,Industri,Bemanning
1218,Atlantic Sapphire,1705,ASA,NO0010768500,Aktie,Oslo Bors,Norge,Dagligvaror,Fiskodling
1219,Golden Energy Offshore,1706,GEOS,NO0010813843,Aktie,Oslo Growth,Norge,Energi,Olja & Gas - Transport
1220,SoftOx Solutions,1707,SOFTX,NO0010811961,Aktie,Oslo Growth,Norge,Hälsovård,Läkemedel
1221,Arion Banki,1710,ARION SDB,SE0010413567,Aktie,Large Cap,Sverige,Finans & Fastighet,Banker
1222,Epiroc A,1711,EPI A,SE0015658109,Stocks2,Large Cap,Sverige,Industri,Industrimaskiner
1223,Epiroc B,1712,EPI B,SE0015658117,Aktie,Large Cap,Sverige,Industri,Industrimaskiner
1224,Flexion Mobile,1713,FLEXM,GB00BZ1MDB19,Aktie,First North,Sverige,Sällanköpsvaror,Gaming & Spel
1225,Gomero Group,1714,GOMERO,SE0011167535,Aktie,Spotlight,Sverige,Industri,Installation & VVS
1226,Kojamo,1715,KOJAMO,FI4000312251,Aktie,Large Cap,Finland,Finans & Fastighet,Fastighetsbolag
1227,Freetrailer,1717,FREETR,DK0061026119,Aktie,Spotlight,Danmark,Sällanköpsvaror,Bil & Motor
1228,Projektengagemang,1718,PENG B,SE0011337666,Aktie,Small Cap,Sverige,Industri,Affärskonsulter
1229,Calliditas Therapeutics,1719,CALTX,SE0010441584,Aktie,Mid Cap,Sverige,Hälsovård,Läkemedel
1230,Dicot,1720,DICOT,SE0011178458,Aktie,Spotlight,Sverige,Hälsovård,Läkemedel
1231,Midsummer,1721,MIDS,SE0011281757,Aktie,First North,Sverige,Kraftförsörjning,Solkraft
1232,Raketech,1722,RAKE,MT0001390104,Aktie,First North,Sverige,Sällanköpsvaror,Betting & Casino
1233,Ranplan,1723,RPLAN,SE0011178201,Aktie,First North,Sverige,Informationsteknik,Kommunikation
1234,Eezy,1724,EEZY,FI4000322326,Aktie,Small Cap,Finland,Industri,Bemanning
1235,ViroGates,1725,VIRO,DK0061030574,Aktie,First North,Danmark,Hälsovård,Medicinsk Utrustning
1236,Shelf Drilling,1727,SHLF,KYG236271055,Aktie,Oslo Bors,Norge,Energi,Olja & Gas - Borrning
1237,Calmark,1729,CALMA B,SE0011116524,Aktie,Spotlight,Sverige,Hälsovård,Läkemedel
1238,Odico,1730,ODICO,DK0061031036,Aktie,First North,Danmark,Industri,Industrimaskiner
1239,Lifecare,1731,LIFE,NO0010591191,Aktie,Oslo Growth,Norge,Hälsovård,Medicinsk Utrustning
1240,Okeanis Eco Tankers,1732,OET,MHY641771016,Aktie,Oslo Bors,Norge,Industri,Sjöfart & Rederi
1241,Risk Intelligence,1735,RISK,DK0061031978,Aktie,Spotlight,Danmark,Industri,Sjöfart & Rederi
1242,ADS Maritime,1736,ADS,CY0108052115,Aktie,Oslo Growth,Norge,Industri,Sjöfart & Rederi
1243,Lea Bank,1737,LEA,NO0010167331,Aktie,Oslo Growth,Norge,Finans & Fastighet,Banker
1244,Hypefactors,1738,HYPE,DK0060989911,Aktie,First North,Danmark,Informationsteknik,Affärs- & IT-System
1245,Asarina Pharma,1739,ASAP,SE0011641794,Aktie,First North,Sverige,Hälsovård,Läkemedel
1246,Lumito,1740,LUMITO,SE0011282847,Aktie,NGM,Sverige,Hälsovård,Medicinsk Utrustning
1247,Metacon,1741,META,SE0003086214,Aktie,First North,Sverige,Kraftförsörjning,Bioenergi
1248,Nordic Iron Ore,1742,NIO,SE0011528017,Aktie,First North,Sverige,Material,Gruv - Prospekt & Drift
1249,Ziccum,1744,ZICC,SE0011415595,Aktie,First North,Sverige,Hälsovård,Läkemedel
1250,Stenocare,1746,STENO,DK0061078425,Aktie,First North,Danmark,Hälsovård,Läkemedel
1251,poLight,1747,PLT,NO0012535832,Aktie,Oslo Bors,Norge,Informationsteknik,Biometri
1252,Maximum Entertainment,1748,MAXENT B,SE0011725506,Aktie,First North,Sverige,Sällanköpsvaror,Gaming & Spel
1253,Comintelli,1749,COMINT,SE0011751569,Aktie,Spotlight,Sverige,Informationsteknik,Affärs- & IT-System
1254,Nyfosa,1750,NYF,SE0011426428,Aktie,Large Cap,Sverige,Finans & Fastighet,Fastighetsbolag
1255,Adverty,1751,ADVT,SE0011724889,Aktie,NGM,Sverige,Sällanköpsvaror,Marknadsföring
1256,AlzeCure Pharma,1752,ALZCUR,SE0010133785,Aktie,First North,Sverige,Hälsovård,Läkemedel
1257,Axolot Solutions,1754,AXOLOT,SE0009414303,Aktie,First North,Sverige,Industri,Energi & Återvinning
1258,Hoodin,1755,HOODIN,SE0011415249,Aktie,Spotlight,Sverige,Informationsteknik,Affärs- & IT-System
1259,Thinc,1756,THINC,SE0020358281,Aktie,Spotlight,Sverige,Informationsteknik,Affärs- & IT-System
1260,PolarCool,1757,POLAR,SE0012570422,Aktie,Spotlight,Sverige,Hälsovård,Medicinsk Utrustning
1261,S2Medical,1758,S2M,SE0011725084,Aktie,First North,Sverige,Hälsovård,Läkemedel
1262,Scandion Oncology,1759,SCOL,DK0061031895,Aktie,First North,Sverige,Hälsovård,Biotech
1263,Oma Säästöpankki,1761,OMASP,FI4000306733,Aktie,Mid Cap,Finland,Finans & Fastighet,Banker
1264,Rush Factory,1762,RUSH,FI4000348909,Aktie,First North,Finland,Sällanköpsvaror,Resor & Nöjen
1265,Viafin Service,1763,VIAFIN,FI4000349212,Aktie,First North,Finland,Finans & Fastighet,Investmentbolag
1266,Scape Technologies,1765,SCAPE,DK0061114246,Aktie,First North,Danmark,Industri,Industrimaskiner
1267,Seluxit,1766,SLXIT,DK0061076130,Aktie,First North,Danmark,Informationsteknik,Affärs- & IT-System
1268,Zenith Energy,1767,ZENA,CA98936C8584,Aktie,Oslo Growth,Norge,Energi,Olja & Gas - Exploatering
1269,Tallink Grupp,1768,TALLINK,FI4000349378,Aktie,Mid Cap,Finland,Industri,Sjöfart & Rederi
1270,Beyond Frames,1770,BEYOND,SE0011614965,Aktie,Spotlight,Sverige,Sällanköpsvaror,Gaming & Spel
1271,Jetpak,1771,JETPAK,SE0012012508,Aktie,First North,Sverige,Industri,Tåg- & Lastbilstransport
1272,Lime Technologies,1772,LIME,SE0011870195,Aktie,Mid Cap,Sverige,Informationsteknik,Affärs- & IT-System
1273,NeoDynamics,1773,NEOD,SE0011563410,Aktie,First North,Sverige,Hälsovård,Läkemedel
1274,Q-Linea,1774,QLINEA,SE0011527845,Aktie,Small Cap,Sverige,Hälsovård,Medicinsk Utrustning
1275,CAG Group,1775,CAG,SE0011923341,Aktie,First North,Sverige,Informationsteknik,IT-Konsulter
1276,Footway,1776,FOOT B,SE0011563295,Aktie,First North,Sverige,Sällanköpsvaror,Kläder & Skor
1277,Raytelligence,1777,RAYTL,SE0011721356,Aktie,NGM,Sverige,Hälsovård,Medicinsk Utrustning
1278,Samhällsbyggnadsbolag D,1778,SBB D,SE0011844091,Stocks2,Mid Cap,Sverige,Finans & Fastighet,Fastighetsbolag
1279,InCoax Networks,1779,INCOAX,SE0009832595,Aktie,First North,Sverige,Telekommunikation,Telekomtjänster
1280,Game Chest,1783,GAMEC,SE0010820191,Aktie,NGM,Sverige,Sällanköpsvaror,Gaming & Spel
1281,Clean Industry,1785,CISH,SE0011762517,Aktie,First North,Sverige,Kraftförsörjning,Solkraft
1282,LeadDesk,1786,LEADD,FI4000364120,Aktie,First North,Finland,Informationsteknik,Affärs- & IT-System
1283,Zwipe,1787,ZWIPE,NO0010721277,Aktie,Oslo Growth,Norge,Informationsteknik,Biometri
1284,Ferroamp,1788,FERRO,SE0012229920,Aktie,First North,Sverige,Industri,Energi & Återvinning
1285,Teqnion,1789,TEQ,SE0012308088,Aktie,First North,Sverige,Industri,Industrikomponenter
1286,Upsales,1790,UPSALE,SE0011985514,Aktie,First North,Sverige,Informationsteknik,Affärs- & IT-System
1287,Ascelia Pharma,1793,ACE,SE0010573113,Aktie,Small Cap,Sverige,Hälsovård,Läkemedel
1288,Viaplay B,1794,VPLAY B,SE0012116390,Aktie,Mid Cap,Sverige,Sällanköpsvaror,Media & Publicering
1289,Viaplay A,1795,VPLAY A,SE0012324226,Stocks2,Mid Cap,Sverige,Sällanköpsvaror,Media & Publicering
1290,Karnov,1796,KAR,SE0012323715,Aktie,Mid Cap,Sverige,Industri,Affärskonsulter
1291,Train Alliance,1819,TRAIN B,SE0020540144,Aktie,First North,Sverige,Finans & Fastighet,Fastighetsbolag
1292,Gaming Innovation,1831,GIGSEK,US36467X2062,Aktie,Mid Cap,Sverige,Sällanköpsvaror,Betting & Casino
1293,Triboron,1832,TRIBO B,SE0010600429,Aktie,First North,Sverige,Industri,Energi & Återvinning
1294,Aallon Group,1833,AALLON,FI4000369608,Aktie,First North,Finland,Finans & Fastighet,Kredit & Finansiering
1295,Adevinta,1838,ADE,NO0010844038,Aktie,Oslo Bors,Norge,Finans & Fastighet,Investmentbolag
1296,FluoGuide,1840,FLUO,DK0061123312,Aktie,First North,Sverige,Hälsovård,Medicinsk Utrustning
1297,Vertiseit,1843,VERT B,SE0012481133,Aktie,First North,Sverige,Informationsteknik,Affärs- & IT-System
1298,OssDsign,1845,OSSD,SE0012570448,Aktie,First North,Sverige,Hälsovård,Läkemedel
1299,Danish Aerospace,1846,DAC,DK0061140407,Aktie,First North,Danmark,Hälsovård,Hälsovård & Hjälpmedel
1300,Konsolidator,1847,KONSOL,DK0061113511,Aktie,First North,Danmark,Informationsteknik,Affärs- & IT-System
1301,Klaveness Combination,1849,KCC,NO0010833262,Aktie,Oslo Bors,Norge,Industri,Sjöfart & Rederi
1302,Ultimovacs,1850,ULTI,NO0010851603,Aktie,Oslo Bors,Norge,Hälsovård,Läkemedel
1303,John Mattson,1852,JOMA,SE0012481364,Aktie,Mid Cap,Sverige,Finans & Fastighet,Fastighetsbolag
1304,K2A,1853,K2A B,SE0010520254,Aktie,Small Cap,Sverige,Finans & Fastighet,Fastighetsbolag
1305,Mentice,1854,MNTC,SE0012673291,Aktie,First North,Sverige,Hälsovård,Medicinsk Utrustning
1306,Mofast,1855,MOFAST,SE0012596120,Aktie,Spotlight,Sverige,Finans & Fastighet,Fastighetsbolag
1307,Tingsvalvet A,1856,TINGS A,SE0018534471,Aktie,Spotlight,Sverige,Finans & Fastighet,Fastighetsbolag
1308,Nidaros Sparebank,1857,NISB,NO0010733082,Aktie,Oslo Growth,Norge,Finans & Fastighet,Banker
1309,Norbit,1858,NORBT,NO0010856511,Aktie,Oslo Bors,Norge,Industri,Mätning & Analys
1310,OKEA,1859,OKEA,NO0010816895,Aktie,Oslo Bors,Norge,Energi,Olja & Gas - Exploatering
1311,Traton,1861,8TRA,DE000TRAT0N7,Aktie,Large Cap,Sverige,Industri,Industrimaskiner
1312,OMX Copenhagen 25,1864,OMXC25,DK0060775369,Index,Index,Danmark,N/A,N/A
1313,OMX Copenhagen 25 GI,1865,OMXC25GI,DK0060775443,Index GI,Index,Danmark,N/A,N/A
1314,QuickBit,1866,QBIT,SE0010662585,Aktie,NGM,Sverige,Informationsteknik,Affärs- & IT-System
1315,Zoomability,1870,ZOOM,SE0012740074,Aktie,Spotlight,Sverige,Sällanköpsvaror,Bil & Motor
1316,2020 Bulkers,1871,2020,BMG9156K1018,Aktie,Oslo Bors,Norge,Industri,Sjöfart & Rederi
